cores mu intr_lambda qps avg p50 p90 p95 p99 p999 distribution
16 0.1 16.0 1.41985039532 11.5914997913 10.1841352137 14.8630267298 16.6957795573 20.9623699263 27.1891800201 constant
16 0.1 16.0 1.43935694647 11.9179190112 10.5377453011 15.6801631739 17.7918569949 22.6559973178 29.2822508338 constant
16 0.1 16.0 1.45903327926 12.3483209951 10.9515620214 16.7486718268 19.2017105879 24.809954925 32.427796063 constant
16 0.1 16.0 1.47992252156 12.961892821 11.4944699393 18.149341043 21.0596845425 28.1032400183 38.4685458601 constant
16 0.1 16.0 1.5003671771 13.7529764342 12.1543478388 20.0688970136 23.474454052 30.9742769306 40.6089389268 constant
16 0.1 16.0 1.52039065937 14.9694823097 13.0416870886 22.9062259942 27.0002430611 36.6188231912 49.5835652397 constant
16 0.1 16.0 1.53861996975 16.9272321192 14.3105805246 27.5988742255 33.3355900431 46.7313751226 64.7947730507 constant
16 0.1 16.0 1.55906185129 20.8433919007 17.1539202193 36.5717949155 44.7041010773 62.9929386782 90.3220644491 constant
16 0.1 16.0 1.58120336153 34.8663735167 27.3157243039 68.5621798453 85.6743164943 124.620863229 158.581848298 constant
16 0.1 16.0 1.5991371284 312.7635254 265.49203632 625.919308071 850.506841952 1000.27822714 1155.15241945 constant
16 0.1 16.0 1.5999788022 29951.7845709 28946.5428308 54382.0547883 57730.0517645 60028.064528 60584.2078145 constant
16 0.1 16.0 0.0200435182186 9.95855549313 6.94107596576 22.9897649746 29.8143471436 46.021801826 68.5267555322 exponential
16 0.1 16.0 0.119732864324 10.0207404647 6.92684609722 23.0793085895 30.0623371396 46.2346057547 69.7526564864 exponential
16 0.1 16.0 0.219925595665 10.0120613882 6.93348110281 23.0660831332 29.9944018861 46.2451882265 68.8807432172 exponential
16 0.1 16.0 0.319727236618 10.0003469288 6.93335919781 23.0236200904 29.9152258602 46.249955642 68.7751490702 exponential
16 0.1 16.0 0.419805037249 10.0057050715 6.93376926519 23.0322205281 30.0344486624 46.2328039499 69.0730593768 exponential
16 0.1 16.0 0.519874167634 10.0023404494 6.93213632144 23.0252254987 29.9530218035 46.1903813111 69.3705107654 exponential
16 0.1 16.0 0.620029385349 9.99789603491 6.92971775355 23.0371046173 29.9437017796 46.035534949 69.1527241031 exponential
16 0.1 16.0 0.720243162132 10.0079679364 6.93837946746 23.0579378875 29.979281086 46.0850903294 69.0455070217 exponential
16 0.1 16.0 0.819847183285 10.0136879997 6.94995502522 23.0265236822 29.9748711144 46.1066885702 69.2850465681 exponential
16 0.1 16.0 0.919125521182 10.0484643814 6.98212490394 23.0844923342 30.0099951439 46.1052617305 69.3050901219 exponential
16 0.1 16.0 1.01972056899 10.1175779321 7.06638982706 23.1836098446 30.1072823913 46.1769138174 69.0633240386 exponential
16 0.1 16.0 1.12008598014 10.2699331436 7.25337717496 23.3565118839 30.2652732879 46.408303869 69.5908659361 exponential
16 0.1 16.0 1.22015316997 10.5913268946 7.61628251639 23.7927171774 30.7201887639 46.8406106434 69.979994135 exponential
16 0.1 16.0 1.24020491811 10.6925077963 7.72883406188 23.9381466731 30.8586496611 46.9652671777 70.0698221941 exponential
16 0.1 16.0 1.25935779089 10.8053270836 7.85507794411 24.1102132462 31.0338304401 47.1697275151 70.2404962466 exponential
16 0.1 16.0 1.2797705212 10.9589307933 8.02944878303 24.3122462407 31.2599285031 47.3601819568 70.4938408816 exponential
16 0.1 16.0 1.29972294999 11.0982144317 8.18200168479 24.526128995 31.4607323768 47.5695837149 70.486850285 exponential
16 0.1 16.0 1.32074438447 11.3144522178 8.40697581554 24.8811385636 31.8274388108 47.9067786594 71.1725695643 exponential
16 0.1 16.0 1.33986055673 11.532547891 8.6411505295 25.209780282 32.1450393507 48.2352655553 71.3200688893 exponential
16 0.1 16.0 1.35992718813 11.792944521 8.91724412469 25.6360536974 32.6024122811 48.6820423435 71.9422315122 exponential
16 0.1 16.0 1.38035479654 12.1088670409 9.23701117747 26.165104582 33.1690540626 49.2954533752 72.3417379744 exponential
16 0.1 16.0 1.40006206333 12.5696577622 9.69482626999 26.9577399315 33.9985243175 50.1824633898 73.2260779925 exponential
16 0.1 16.0 1.41920659572 13.0709983561 10.1615461376 27.8836673424 35.0764173868 51.4297196274 74.5045916047 exponential
16 0.1 16.0 1.43975482618 13.6830048296 10.7587365005 28.9730746038 36.251751903 52.6342240931 75.7081867764 exponential
16 0.1 16.0 1.45924536781 14.5494104162 11.5342144771 30.5569092305 38.1953727459 55.442803164 79.3724902081 exponential
16 0.1 16.0 1.48078930774 15.779305747 12.6603463292 32.9043528698 40.7963219141 58.4912239413 83.1374397632 exponential
16 0.1 16.0 1.49989797067 17.1055078823 13.868210685 35.4516947878 43.678209824 61.4691548622 85.0830464307 exponential
16 0.1 16.0 1.51926798882 19.7516545764 15.9897850575 40.764714336 50.4750005447 72.4107314027 101.951745414 exponential
16 0.1 16.0 1.53990085675 23.7195935729 19.115820454 49.2594606103 60.8492293977 85.9110227665 117.4693704 exponential
16 0.1 16.0 1.55926976009 31.3071155495 24.9664085065 65.4460534125 81.6817640183 114.035211719 157.277605269 exponential
16 0.1 16.0 1.57955094419 56.9625195084 42.4409872713 122.854405434 158.620104836 247.629751798 337.295735274 exponential
16 0.1 16.0 1.59942694093 624.661133911 550.08511555 1349.98786561 1631.35225215 1899.44742472 2053.38464412 exponential
16 0.1 16.0 1.60012778092 15432.428332 14642.2884914 28170.8473621 30753.9126536 31596.5436702 32091.3754291 exponential
16 0.1 16.0 1.60053816896 30458.372572 30925.5721405 55284.8010551 58441.9252545 61370.2022025 61999.8443244 exponential
16 0.1 16.0 0.0199255101873 10.0477777332 5.0 55.0 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.119931799986 10.0105976897 5.0 55.0 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.220104399198 10.0321074616 5.0 55.0 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.319541760314 10.0090786245 5.0 55.0 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.419975791866 9.98062148114 5.0 5.0 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.52036173711 9.99683560564 5.0 5.57963775937 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.62026710626 10.0096996395 5.0 55.0 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.720328755594 10.0031318741 5.0 14.4535315265 55.0 55.0 55.0 bimodal
16 0.1 16.0 0.820257950318 10.0219087052 5.0 55.0 55.0 55.0 55.1426755958 bimodal
16 0.1 16.0 0.920312384074 10.0483791477 5.0 22.7008787063 55.0 55.0 56.6284801634 bimodal
16 0.1 16.0 1.01993583709 10.1342184734 5.0 24.17283455 55.0 55.0 58.7231267048 bimodal
16 0.1 16.0 1.22074146317 10.8440317828 5.0 51.9387488309 55.0 57.5278219208 68.299887921 bimodal
16 0.1 16.0 1.23983707574 11.0154321088 5.0 55.0 55.0 58.1395377247 69.5214026419 bimodal
16 0.1 16.0 1.25981458508 11.1737122761 5.0 42.1698537129 55.0 58.8169724806 71.2384575624 bimodal
16 0.1 16.0 1.27930679732 11.3559678491 5.0 43.8208736046 55.0 59.5345096682 72.164627875 bimodal
16 0.1 16.0 1.30058757591 11.637297808 5.0 47.715370473 55.0 60.704434772 74.2765562778 bimodal
16 0.1 16.0 1.31964553372 11.9587991696 5.0 55.0 55.0 61.8524533345 76.3892288737 bimodal
16 0.1 16.0 1.34043126693 12.3002482313 5.0 51.8876139934 55.0 63.04896926 78.2914179913 bimodal
16 0.1 16.0 1.35987714827 12.679292307 5.0 55.0 55.0 64.4130251361 80.380430831 bimodal
16 0.1 16.0 1.38058779128 13.2910687291 5.45931878639 55.0 55.0 66.2129968866 84.2271296417 bimodal
16 0.1 16.0 1.39899592703 13.8654543958 5.85782470601 55.0 55.2987791281 67.969073928 86.6671659965 bimodal
16 0.1 16.0 1.42022939584 14.6698367436 6.41872141126 55.0 55.9176731282 70.4497946361 92.297900571 bimodal
16 0.1 16.0 1.44012735556 15.8670612031 7.26606597845 55.0 56.9027393867 73.8947788798 97.6664744029 bimodal
16 0.1 16.0 1.46012774751 17.1090820634 8.35494164913 55.0 58.3400969197 77.6136553125 104.05309505 bimodal
16 0.1 16.0 1.47987311731 18.9369310769 9.98768513044 55.0 61.2879138878 83.3560270108 112.480615077 bimodal
16 0.1 16.0 1.49986537883 21.3053961899 12.3411483811 55.1681152713 65.6277918322 90.3788938341 125.450214935 bimodal
16 0.1 16.0 1.52048117983 25.473026376 16.0353371771 60.867776827 74.6431771768 105.771213655 149.667400099 bimodal
16 0.1 16.0 1.53872651354 32.1908169984 21.7196713286 73.3517309562 91.7627006983 136.163431704 188.54639572 bimodal
16 0.1 16.0 1.55995935819 46.5902726005 33.4425805378 104.538450968 133.503801018 196.482287788 278.508934524 bimodal
16 0.1 16.0 1.58051994822 87.5833490546 64.7351600486 193.047571489 245.650547392 392.165074456 505.007271956 bimodal
16 0.1 16.0 1.59832180942 2778.12709632 2840.0591952 4931.3076953 5072.7050334 5287.91428545 5452.38842805 bimodal
16 0.1 16.0 1.5984175303 33925.5246775 35294.3969041 59674.522885 60702.3900602 63305.9490037 63876.2299823 bimodal
